,Stock,Price,Needle strength,Compilation,URL
Phildar Phil Coton 2 1004 Turquoise,out of product range,"2,16",2 mm,100% Baumwolle,https://www.wollplatz.de/wolle/phildar/phildar-phil-coton-2
Phildar Phil Coton 3 0019 Ecume,in stock,"2,46","2,5-3 mm",100% Baumwolle,https://www.wollplatz.de/wolle/phildar/phildar-philcoton3
Phildar Phil Coton 4 7 Bordeaux,out of product range,"2,94","3,5-4 mm",100% Baumwolle,https://www.wollplatz.de/wolle/phildar/phildar-phil-coton-4
Phildar Phil Degrade 1275 Eglantine,6 left,"4,71",4.5 mm,100% Baumwolle,https://www.wollplatz.de/wolle/phildar/phildar-phil-degrade
Phildar Detente 1004 Navy,in stock,"3,92","3-3,5 mm","93% Acryl, 7% Elastan ",https://www.wollplatz.de/wolle/phildar/phildar-detente
Phildar Phil Douce 1004 Jean Stoned,out of product range,"5,40","4,5-5 mm",100% Polyester,https://www.wollplatz.de/wolle/phildar/phildar-phildouce
Phildar Phil Ecocoton 1001 Tournesol,in stock,"4,91",3 mm,100% Baumwolle,https://www.wollplatz.de/wolle/phildar/phildar-phil-ecocoton
Phildar Phil Ecojean 1004 Gris Moyen,9 left,"4,91",4 mm,"48% Baumwolle, 47% Polyester, 5% Fasern",https://www.wollplatz.de/wolle/phildar/phildar-phil-ecojean
Phildar Phil Express 1200 Noir,3 left,"7,86",12 mm,"80% Acryl, 20% Wolle",https://www.wollplatz.de/wolle/phildar/phildar-phil-express
Phildar Phil Falaise 1089 Porcelaine,6 left,"4,87",4 mm,"80% Baumwolle, 20% Polyamid",https://www.wollplatz.de/wolle/phildar/phildar-phil-falaise
Phildar Phil Frénésie 3 Dragée,out of product range,"5,36","3,5-4 mm","37% Katoen, 26% Wol, 15% Polyamide, 12% Mohair, 10% Viscose",https://www.wollplatz.de/wolle/phildar/phildar-phil-frenesie
Phildar Phil Gardening 1012 Veronese,out of product range,"5,69","6,5 mm","53% Acryl, 37% Wolle,10% Alpakawolle",https://www.wollplatz.de/wolle/phildar/phildar-phil-gardening
Phildar Phil Gourmand 1001 Vanille,23 left,"5,69","4,5 mm","65% Polyamid, 35% Acryl ",https://www.wollplatz.de/wolle/phildar/phildar-phil-gourmand
Phildar Phil Guimauve 0043 Blanc,out of product range,"3,73",9 mm,"45% Wolle, 45% Acryl, 10% Nylon",https://www.wollplatz.de/wolle/phildar/phildar-phil-guimauve
Phildar Phil Irlandais 0002 Minerai,out of product range,"3,73",5 mm,"51% Wolle, 49% Acryl",https://www.wollplatz.de/wolle/phildar/phildar-phil-irlandais
Phildar Phil Laine Cachemire 1019 Gold,out of product range,"6,38","3,5 mm","80% Wolle, 20% Kaschmir ",https://www.wollplatz.de/wolle/phildar/phildar-phil-laine-cachemire
Phildar Phil Light 1019 Miel,in stock,"4,22",5-6 mm,"53% Acryl, 29% Polyamid, 18% Wolle",https://www.wollplatz.de/wolle/phildar/phildar-phillight
Phildar Phil Looping 1044 Rosee,out of product range,"4,12",6 mm,"80% Acryl, 20% Wolle",https://www.wollplatz.de/wolle/phildar/phildar-phil-looping
Phildar Phil Love Cotton 1004 Jeans,in stock,"3,73",3.5 mm,100% Baumwolle,https://www.wollplatz.de/wolle/phildar/phildar-phil-love-cotton
Phildar Phil Maxi Mohair 0019 Nuage,out of product range,"5,89",8 mm,"40% Acryl, 30% Polyamid, 30% Mohair",https://www.wollplatz.de/wolle/phildar/phildar-phil-maxi-mohair
Phildar Phil Merinos 3.5 1089 Paon,out of product range,"5,20",3.5 mm,100% Merinowolle,https://www.wollplatz.de/wolle/phildar/phildar-phil-merinos-3-5
Phildar Phil Merinos 6 1019 Absinthe,out of product range,"5,40",6 mm,100% Merinowolle,https://www.wollplatz.de/wolle/phildar/phildar-phil-merinos-6
Phildar Phil Mikado 1155 Petunia,out of product range,"7,17","4,5-5 mm","30% Wolle, 70% Acryl",https://www.wollplatz.de/wolle/phildar/phildar-phil-mikado
Phildar Phil Nature 1002 Bois de Rose,out of product range,"4,91","3,5 mm","48% Baumwolle, 28% Viskose, 24% Leinen",https://www.wollplatz.de/wolle/phildar/phildar-phil-nature
Phildar Phil Naturel 1200 Noir,out of product range,"9,74",20 mm,"85% Wolle, 15% Alpakawolle ",https://www.wollplatz.de/wolle/phildar/phildar-phil-naturel
Phildar Phil Nuage 1134 Denim,1 left,"8,84","5,5-6 mm","72% Merinowolle, 28% Polyamid",https://www.wollplatz.de/wolle/phildar/phildar-phil-nuage
Phildar Phil Otello 1038 Berlingot,out of product range,"5,69",3.5 mm,100% Wolle,https://www.wollplatz.de/wolle/phildar/phildar-phil-otello
Phildar Phil Petillant 1002 Eglantine,out of product range,"4,61","4,5 mm",100% Baumwolle,https://www.wollplatz.de/wolle/phildar/phildar-phil-petillant
Phildar Phil Pima 1019 Vanille,2 left,"7,37",5 mm,"51% Baumwolle, 49% Polyamid",https://www.wollplatz.de/wolle/phildar/phildar-phil-pima
Phildar Phil Popcorn 1002 Framboise,out of product range,"3,92",3 mm,"84% Katoen, 16% Polyamide",https://www.wollplatz.de/wolle/phildar/phildar-phil-popcorn
Phildar Phil Rainbow 63 Pastel,in stock,"4,91",3.5 mm,100% Baumwolle,https://www.wollplatz.de/wolle/phildar/phildar-phil-rainbow
Phildar Phil Rustique 7 Marsala,out of product range,"3,92",4 mm,"65% Baumwolle, 25% Viskose, 10% Leinen ",https://www.wollplatz.de/wolle/phildar/phildar-phil-rustique
Phildar Phil Sport 1019 Ambre,out of product range,"3,73",4 mm,"51% Wolle, 49% Acryl",https://www.wollplatz.de/wolle/phildar/phildar-phil-sport
Phildar Phil Wavy 1002 Rose Thé,3 left,"5,40",5 mm,"48% Polyamid, 30% Acryl, 22% Wolle",https://www.wollplatz.de/wolle/phildar/phildar-phil-wavy
Phildar Rapido 1085 Denim,out of product range,"3,43",6-7 mm,"50% Polyamid, 25% Wolle, 25% Acryl",https://www.wollplatz.de/wolle/phildar/phildar-rapido
Phildar Super Baby Aviatuer ,out of product range,"3,53","2,5 - 3 mm","70% Acryl, 30% Lammwolle",https://www.wollplatz.de/wolle/phildar/phildar-superbaby
Rico Baby Classic dk 01 White,in stock,"3,92","3,5 - 4 mm","50% Polyamid, 50% Acryl",https://www.wollplatz.de/wolle/rico/rico-baby-classic-dk
Rico Baby Cotton Soft dk 1 White,in stock,"3,43","3,5-4 mm","50% Baumwolle, 50% Acryl",https://www.wollplatz.de/wolle/rico/rico-baby-cotton-soft-dk
Rico Baby Cotton Soft Print dk 002 Light Blue-White,in stock,"3,92","3,5-4 mm","50% Baumwolle, 50% Acryl",https://www.wollplatz.de/wolle/rico/rico-baby-cotton-soft-dk-print
Rico Baby Dream DK 001 Salmon-Grey,in stock,"5,40",4 mm,"53% Polyamid, 47% Acryl",https://www.wollplatz.de/wolle/synthetisch/rico-baby-dream-dk
Rico Baby Dream DK Uni 001 White,in stock,"4,91",4 mm,"50% Acryl, 50% Polyamide",https://www.wollplatz.de/wolle/rico/rico-baby-dream-dk-uni
Rico Baby Teddy Aran 01 White,in stock,"3,43","3,5 - 4 mm","75% Polyester, 25% Polyamid",https://www.wollplatz.de/wolle/rico/rico-baby-teddy-aran
Rico Bändchen 006 Mustard,out of product range,"4,42",6 mm,100% Viskose,https://www.wollplatz.de/wolle/rico/rico-baendchen
Rico Creative Bubble 11 Silver,out of product range,"2,94",2-4 mm,100% Polyester,https://www.wollplatz.de/wolle/rico/rico-creative-bubble
Rico Creative Cocon 003 Yellow,11 left,"10,87",20 mm,"50% Polyacryl, 35% Polyamide, 15% Wol",https://www.wollplatz.de/wolle/rico/rico-creative-cocon
Rico Creative Cotton Aran 00 Rose,in stock,"2,65",4-5 mm,100% Baumwolle,https://www.wollplatz.de/wolle/rico/rico-creativecottonaran
Rico Creative Cotton Aran Print 1 Pink Mix,in stock,"2,94",4-5 mm,100% Baumwolle,https://www.wollplatz.de/wolle/rico/rico-creative-cotton-aran-print
Rico Creative Cotton Colour Coated 001 Pink/Blue,in stock,"3,92",5 mm,"50% Baumwolle, 50% Acryl",https://www.wollplatz.de/wolle/rico/rico-creative-cotton-colour-coated
Rico Creative Cotton Cord 001 Ecru,in stock,"10,81",5 mm,100% Baumwolle,https://www.wollplatz.de/wolle/rico/rico-creative-cotton-cord
Rico Creative Cotton Dégradé Print 1,out of product range,"18,68","3,5 mm","50% Baumwolle, 50% Acryl",https://www.wollplatz.de/wolle/rico/rico-creative-cotton-degrade-print
Rico Creative Cotton Dégradé Super 6 2,15 left,"18,68","3,5 mm","50% Baumwolle, 50% Acryl",https://www.wollplatz.de/wolle/rico/rico-creative-cotton-degrade-super-6
Rico Creative Ito Iro Chunky 001 Lilac-Yellow,out of product range,"12,29",6 mm,"80% Polyacryl, 20% Wolle ",https://www.wollplatz.de/wolle/rico/rico-creative-ito-iro-chunky
Rico Creative Lamé 001 Silber,in stock,"3,92","2,5 - 3,5 mm","62% Polyester, 38% Polyamid ",https://www.wollplatz.de/wolle/rico/rico-creative-lame
Rico Creative Melange Big Super Chunky 27 Brown-Orange,out of product range,"9,53",10-12 mm,"53% Wolle, 47% Acryl",https://www.wollplatz.de/wolle/rico/rico-creative-melange-big-super-chunky
Rico Creative Melange Chunky 31 Rose-Green,out of product range,"4,42",6 - 7 mm,"53% Schurwolle, 47% Polyacryl",https://www.wollplatz.de/wolle/rico/rico-creative-melange-chunky
Rico Creative Melange DK 03 Blueberry Mix,out of product range,"4,22","3,5 - 4 mm","53% Schurwolle, 47% Acryl",https://www.wollplatz.de/artikel/15879/rico-creative-melange-dk.html
Rico Creative Natur 01 Creme,in stock,"3,92",3.5 mm,100% Hanf,https://www.wollplatz.de/wolle/rico/rico-creative-natur
Rico Creative Riguretto Aran 001 Yellow-Green,out of product range,"9,14",5 mm,"55% Polyacryl, 30% Nylon, 10% Wolle, 5% Mohair ",https://www.wollplatz.de/wolle/rico/rico-creative-riguretto-aran
Rico Creative Silky Touch dk 01 White,in stock,"4,91",4 mm,100% Acryl,https://www.wollplatz.de/wolle/rico/rico-creative-silky-touch
Rico Creative Smile 001 Pastel,in stock,"4,91",8 mm,"53% Wolle, 47% Acryl",https://www.wollplatz.de/wolle/rico/rico-creative-smile
Rico Creative So Cool + So Soft Cotton Chunky 002 Yellow,1 left,"5,60",7 mm,100% Baumwolle,https://www.wollplatz.de/wolle/rico/rico-creative-so-cool-so-soft-cotton-chunky
Rico Creative Soft Wool Aran 1 Cream,in stock,"5,89",5 mm,"75% Polyacryl, 25% Wolle ",https://www.wollplatz.de/wolle/rico/rico-creative-soft-wool-aran
Rico Creative Sport dk 001 Cream,in stock,"3,43","4,5-5,5 mm","50% Baumwolle, 50% Acryl",https://www.wollplatz.de/wolle/rico/rico-creative-sport-dk
Rico Creative Twist Super Chunky 3 Dark Brown,out of product range,"8,35",10 mm,"80% Polyacryl, 20% Alpakawolle",https://www.wollplatz.de/wolle/rico/rico-creative-twist-super-chunky
Rico Essentials Alpaca Blend Chunky 2 Beige,in stock,"6,48",6 mm,"50% Polyacryl, 30% Wolle, 20% Alpacawolle",https://www.wollplatz.de/wolle/rico/rico-essentials-alpaca-blend-chunky
Rico Essentials Alpaca Twist Chunky 006 Light Grey,out of product range,"6,28",6 mm,"50% Alpakawolle, 35% Polyacryl, 15% Wolle",https://www.wollplatz.de/wolle/rico/rico-essentials-alpaca-twist-chunky
Rico Essentials Big 14 Grey,2 left,"4,61",7-8 mm,"50% Schurwolle, 50% Acryl",https://www.wollplatz.de/wolle/rico/rico-essentials-big
Rico Essentials Cashlana  1 Pink,out of product range,"4,22","3,5-4 mm","80% Merino Extra Fein Wolle, 20% Kaschmir",https://www.wollplatz.de/wolle/rico/rico-essentialscashlana
Rico Essentials Cotton dk 01 Rose,in stock,"4,42",3 - 4 mm,100% Baumwolle,https://www.wollplatz.de/wolle/rico/rico-essentials-cotton-dk
Rico Essentials Cotton Glitz DK 12 Mint,out of product range,"4,71",3-4 mm,"78% Baumwolle, 19% Viskose, 3% Polyester ",https://www.wollplatz.de/wolle/rico/rico-essentials-cotton-glitz-dk
Rico Essentials Crochet 1 White,in stock,"2,94","1,75-2 mm",100% Mercerisierte Baumwolle,https://www.wollplatz.de/wolle/rico/rico-essentials-crochet
Rico Essentials Mega Wool Chunky 001 Créme,in stock,"7,86",6 mm,"55% Merinowol, 45% Acryl",https://www.wollplatz.de/wolle/rico/rico-essentials-mega-merino-chunky
Rico Essentials Merino dk 2 Rose,out of product range,"5,40","4-4,5 mm",100% Merinowolle,https://www.wollplatz.de/wolle/rico/rico-essentials-merino-dk
Rico Essentials Merino Plus DK 007 Bordeaux,out of product range,"3,73",4 mm,"50% Schurwolle, 50% Acryl",https://www.wollplatz.de/wolle/rico/rico-essentials-merino-plus-dk
Rico Essentials Soft Merino Aran 001 Mustard,out of product range,"4,16",5 mm,100% Merinowolle,https://www.wollplatz.de/wolle/rico/rico-essentials-soft-merino-aran
Rico Essentials Super Chunky 002 Beige,out of product range,"4,71",7 mm,"50% Wolle, 50% Polyacryl",https://www.wollplatz.de/wolle/rico/rico-essentials-super-chunky
Rico Essentials Super Kid Mohair Loves Silk 1 White,in stock,"10,81",4.5 mm,"70% Mohair, 30% Seide",https://www.wollplatz.de/wolle/rico/rico-essentials-super-kid-mohair-silk
Rico Essentials Super Kid Mohair Loves Silk Print 001 Light,out of product range,"18,18","4,5 mm","70% Mohair, 30% Seide",https://www.wollplatz.de/wolle/rico/rico-essentials-super-kid-mohair-loves-silk-print
Rico Essentials Super Kid Mohair Silk Colourlove 2 Pink,out of product range,"27,05",6 mm,"72% Mohair, 28% Seide ",https://www.wollplatz.de/wolle/rico/rico-essentials-super-kid-mohair-silk-colourlove
Rico Essentials Super Super Chunky 6 Emerald,1 left,"9,82",10 mm,"50% Schurwolle, 50% Acryl",https://www.wollplatz.de/wolle/rico/rico-essentials-super-super-chunky
Rico Fashion Alpaca Dream 06 Petrol,out of product range,"7,37",8 mm,"64% Wolle, 30% Alpakawolle, 6% Polyamid",https://www.wollplatz.de/wolle/rico/rico-fashion-alpaca-dream
Rico Fashion Big Mohair 10 Black,out of product range,"5,99",10 mm,"40% Polyacryl, 30% Polyamide, 30% Mohair",https://www.wollplatz.de/wolle/rico/rico-fashion-big-mohair
Rico Fashion Cotton Light & Long DK 02 Rosa Mix,out of product range,"5,40",4 mm,"47% Baumwolle, 46% Acryl, 7% Polyamid",https://www.wollplatz.de/wolle/rico/rico-fashion-cotton-light-and-long-dk
Rico Fashion Cotton Light & Long Tweed dk 002 Salmon-blue,out of product range,"6,28",4 mm,"47% Baumwolle, 43% Acryl, 7% Polyamid, 3% Viskose",https://www.wollplatz.de/wolle/rico/rico-fashion-cotton-light-and-long-tweed-dk
Rico Fashion Cotton Métallisé 2 White Gold,out of product range,"3,83",4 mm,"53% Baumwolle, 35% Acryl, 12% Metallic Garn",https://www.wollplatz.de/wolle/rico/rico-fashion-cotton-metallise
Rico Fashion Cotton Ribbon Chunky 01 Weiß,out of product range,"4,33",8 mm,100% Baumwolle,https://www.wollplatz.de/wolle/rico/rico-fashion-cotton-ribbon-chunky
Rico Fashion Fine Fur Super Chunky 3 Light Blue,out of product range,"5,56",10 mm,"42% Alpakawolle, 36% Polyamid, 22% Mohair",https://www.wollplatz.de/wolle/rico/rico-fashion-fine-fur-super-chunky
Rico Fashion Gigantic Mohair 4,31 left,"14,74",15-20 mm,"40% Polyacryl, 30% Mohair, 30% Polyamide",https://www.wollplatz.de/wolle/rico/rico-fashion-gigantic-mohair
Rico Fashion Jersey 1 White,in stock,"4,22",7 mm,"64% Baumwolle, 36% Polyamid ",https://www.wollplatz.de/wolle/rico/rico-fashion-jersey
Rico Fashion Light Luxury 1 Creme,out of product range,"7,17",6 mm,"74% Alpakawolle, 22% Wolle, 4% Nylon",https://www.wollplatz.de/wolle/rico/rico-fashion-light-luxury
Rico Fashion Linen Swell Aran 001 White,out of product range,"5,40","4,5 mm","80% Baumwolle, 20% Leinen",https://www.wollplatz.de/wolle/rico/rico-fashion-linen-swell-aran
Rico Fashion Modern Tweed Aran 003 Beige,out of product range,"5,50",5 mm,"60% Wolle, 20% Polyamid, 20% Viskose",https://www.wollplatz.de/wolle/rico/rico-fashion-modern-tweed-aran
Rico Fashion Mohair Merino Chunky 002 Yellow,out of product range,"10,81",6 mm,"78% Mohair, 13% Wolle, 9% Polyamid",https://www.wollplatz.de/wolle/rico/rico-fashion-mohair-merino-chunky
Rico Fashion Silk Blend DK 01 Creme,out of product range,"9,82",5 mm,"45% Baumwolle, 45% Seide, 10% Polyamid",https://www.wollplatz.de/wolle/rico/rico-fashion-silk-blend-dk
Rico Luxury Alpaca Superfine Aran 1 Cream,16 left,"8,84",5-6 mm,"63% Alpakawolle, 37% Polyamid ",https://www.wollplatz.de/wolle/rico/rico-luxury-alpaca-superfine-aran
Rico Luxury Hand-Dyed Happiness DK 003 Pink,out of product range,"21,54",4 mm,100% Merinowolle,https://www.wollplatz.de/wolle/rico/rico-luxury-hand-dyed-happiness-dk
Rico Luxury Volumi 002 Brown,out of product range,"8,31",4 mm,"41% Alpakawolle, 41% Mohair, 16% Polyamid, 2% Elastan",https://www.wollplatz.de/wolle/rico/rico-luxury-volumi
Rico Ricorumi dk 01 White,in stock,"1,56",3-4 mm,100% Baumwolle,https://www.wollplatz.de/wolle/rico/rico-ricorumi-dk
Rico Ricorumi Lamé DK 001 Silver,out of stock for now,"0,88","2,5-3,5 mm","62% Polyester, 38% Nylon ",https://www.wollplatz.de/wolle/rico/rico-ricorumi-lame
Rico Ricorumi Print DK 001 Pink-Yellow,in stock,"1,56",3-4 mm,100% Baumwolle,https://www.wollplatz.de/wolle/rico/rico-ricorumi-print-dk
Rico Ricorumi Set 10 Farben Spray,in stock,"15,73",3-4 mm,100% Baumwolle,https://www.wollplatz.de/pakete/andere-pakete/vorteilspakete/rico-ricorumi-set-10-farben-spray
Rico Ricorumi Set 20 Farben,in stock,"25,56",3-4 mm,100% Baumwolle,https://www.wollplatz.de/pakete/andere-pakete/vorteilspakete/rico-ricorumi-set-20-farben
Rico Ricorumi Set 20 Farben Baby Pastell ,in stock,"25,56",3-4 mm,100% Baumwolle,https://www.wollplatz.de/pakete/andere-pakete/vorteilspakete/rico-ricorumi-set-20-farben-baby-pastell
Rico Ricorumi Set 20 Farben Limited,in stock,"25,56",3-4 mm,100% Baumwolle,https://www.wollplatz.de/pakete/andere-pakete/vorteilspakete/rico-ricorumi-set-20-farben-limited
Rico Ricorumi Set 5 Farben Print,in stock,"7,37",3-4 mm,100% Baumwolle,https://www.wollplatz.de/pakete/andere-pakete/vorteilspakete/rico-ricorumi-set-5-farben-print
Rico Ricorumi Set 60 Farben,in stock,"73,26",3-4 mm,100% Baumwolle,https://www.wollplatz.de/pakete/andere-pakete/vorteilspakete/rico-ricorumi-set-60-farben
Rico Ricorumi Spray DK 001 Yellow,out of product range,"1,47",3-4 mm,100% Baumwolle,https://www.wollplatz.de/wolle/rico/rico-ricorumi-spray-dk
Rico Sticktwist Stickgarn 8m 001 White,in stock,"1,21",2 mm,100% Baumwolle,https://www.wollplatz.de/wolle/rico/rico-sticktwist-stickgarn-8m
Rico Sticktwist Borduurgaren Neon 20m 948 Green,in stock,"2,84",no data,100% Polyester,https://www.wollplatz.de/wolle/rico/rico-sticktwist-stickgarn-20m
Rico Superba Bamboo Confetti 4-ply 028 Pink,out of product range,"7,86",2-3 mm,"50% Wol, 25% Polyamide, 25% Viscose",https://www.wollplatz.de/wolle/rico/rico-superba-bamboo-confetti-4-ply
Rico Superba Premium Mouliné 4 Fädig 008 Blue,out of product range,"7,86",2-3 mm,"75% Wolle, 25% Polyamid",https://www.wollplatz.de/wolle/rico/rico-superba-premium-mouline-4-faedig
SMC Alpaca Cloud 001 Snow White,out of product range,"4,87","3,5-5 mm","70% Alpakawolle, 30% Nylon ",https://www.wollplatz.de/wolle/smc-schachenmayr/smc-alpaca-cloud
SMC Alpaca Couture 035 Rose,in stock,"4,87",3-4 mm,"48% Alpakawolle, 36% Baumwolle, 15% Polyamid, 1% Elastan",https://www.wollplatz.de/wolle/smc-schachenmayr/smc-alpaca-couture
SMC Brazilia 1 White,in stock,"3,88","4,5-5 mm",100% Polyester,https://www.wollplatz.de/wolle/smc-schachenmayr/smc-brazilia
SMC Casual Soft 035 Rose,out of product range,"4,43","4-4,5 mm","73% Baumwolle, 19% Wolle, 8% Viskose ",https://www.wollplatz.de/wolle/smc-schachenmayr/smc-casual-soft
SMC Catania 100 Mimose,in stock,"2,90","2,5-3,5 mm",100% Baumwolle,https://www.wollplatz.de/wolle/smc-schachenmayr/smc-catania
SMC Catania Color 30 Catalin Color,in stock,"4,08","2,5-3,5 mm",100% Baumwolle,https://www.wollplatz.de/wolle/smc-schachenmayr/smc-catania-color
SMC Catania Denim 120 Citron,out of product range,"3,69","2,5-3,5 mm",100% Baumwolle,https://www.wollplatz.de/wolle/smc-schachenmayr/smc-catania-denim
SMC Catania Glamour 143 Berry,out of product range,"3,69","2,5-3,5 mm","98% Baumwolle, 2% Polyester",https://www.wollplatz.de/wolle/smc-schachenmayr/smc-catania-glamour
SMC Catania Grande 3110 Black,out of product range,"2,90",4-5 mm,100% Baumwolle,https://www.wollplatz.de/wolle/smc-schachenmayr/smc-catania-grande
SMC Corsica 080 Mood Color,out of product range,"5,85","2,5-3,5 mm","50% Baumwolle, 50% Nylon",https://www.wollplatz.de/wolle/smc-schachenmayr/smc-corsica
SMC Cosy Wool 002 Creme,in stock,"4,57","4,5-5 mm","64% Viskose, 25% Acryl, 11% Wolle",https://www.wollplatz.de/wolle/smc-schachenmayr/smc-cosy-wool
SMC Merino Extra Fine 120 101,out of product range,"5,41",3-4 mm,100% Scheerwol,https://www.wollplatz.de/wolle/smc-schachenmayr/smc-merino-extra-fine-120
SMC Peach Cotton 101 White,in stock,"5,85","3-3,5 mm","60% Baumwolle, 40% Acryl ",https://www.wollplatz.de/wolle/smc-schachenmayr/smc-peach-cotton
SMC Regia Pairfect Design Line by Arne & Carlos 4-PLY 9090,in stock,"9,20",2-3 mm,"75% Schurwolle, 25% Polyamid",https://www.wollplatz.de/wolle/smc-schachenmayr/smc-regia-design-line-pairfect-design-line-by-arne-und-carlos-4-ply
SMC Regia Print 4-ply 1839 Purple,in stock,"4,92",2-3 mm,"75% Schurwolle, 25% Polyamid",https://www.wollplatz.de/wolle/smc-schachenmayr/smc-regia-print-4-ply
SMC Regia Uni 4-ply 33 Grey Melange,in stock,"4,87",2-3 mm,"75% Schurwolle, 25% Polyamid",https://www.wollplatz.de/wolle/smc-schachenmayr/smc-regia-uni-4-ply
SMC Soft Linen Mix 002 Creme,out of product range,"3,39","3-3,5 mm","70% Viskose, 30% Leinen",https://www.wollplatz.de/wolle/smc-schachenmayr/smc-soft-linen-mix
Stylecraft Bambino DK 1857 All At Sea,in stock,"3,93",4 mm,100% Premium Acryl,https://www.wollplatz.de/wolle/stylecraft/stylecraft-bambino-dk
Stylecraft Batik DK 1432 Wisteria,out of product range,"2,90",4 mm,"80% Acryl, 20% Wolle",https://www.wollplatz.de/wolle/stylecraft/stylecraft-batik-dk
Stylecraft Bellissima DK 3921 Single Cream,in stock,"3,93",4 mm,100% Acryl,https://www.wollplatz.de/wolle/stylecraft/stylecraft-bellissima-dk
Stylecraft Colour Pool 3909 Strawberry Moon,out of product range,"7,38",5 mm,100% Acryl,https://www.wollplatz.de/wolle/stylecraft/stylecraft-colour-pool
Stylecraft Jeanie 3940 Chameleon,out of product range,"5,95",5 mm,"60% Baumwolle, 40% Acryl ",https://www.wollplatz.de/wolle/stylecraft/stylecraft-jeanie
Stylecraft Life DK 2297 Pink Lady,in stock,"4,67",4 mm,"75% Premium Acryl, 25% Wolle",https://www.wollplatz.de/wolle/stylecraft/stylecraft-life-dk
Stylecraft Special dk Farbkarte,out of product range,"4,87",no data,no data,https://www.wollplatz.de/wolle/stylecraft/stylecraft-special-dk-farbkarte
Stylecraft Special XL Super Chunky 1002 Black,in stock,"7,03",10 mm,100% Acryl,https://www.wollplatz.de/wolle/synthetisch/stylecraft-special-xl
Yarn and Colors Baby Fabulous 001 White,in stock,"2,95",4-5 mm,"45% Baumwolle, 55% Acryl",https://www.wollplatz.de/wolle/yarn-and-colors/yarn-and-colors-baby-fabulous
Yarn and Colors Charming 002 Cream,in stock,"3,44","3-3,5 mm","68% Baumwolle, 32% Acryl ",https://www.wollplatz.de/wolle/yarn-and-colors/yarn-and-colors-charming
Yarn and Colors Charming alle Farben Paket,in stock,"159,81",no data,no data,https://www.wollplatz.de/pakete/andere-pakete/vorteilspakete/yarn-and-colors-charming-alle-farben-paket
Yarn and Colors Cheerful 002 Cream,in stock,"6,39",7 mm,"60% Wolle, 40% Acryl",https://www.wollplatz.de/wolle/yarn-and-colors/yarn-and-colors-cheerful
Yarn and Colors Epic 001 White,in stock,"1,97",5 mm,100% Baumwolle,https://www.wollplatz.de/wolle/yarn-and-colors/yarn-and-colors-epic
Yarn and Colors Epic Alle Farben Paket,in stock,"245,87",no data,no data,https://www.wollplatz.de/pakete/andere-pakete/vorteilspakete/yarn-and-colors-epic-alle-farben-paket
Yarn and Colors Epic Farbkarte,out of stock for now,"9,83",no data,no data,https://www.wollplatz.de/wolle/yarn-and-colors/yarn-and-colors-epic-farbkarte
Yarn and Colors Fabulous 001 White,in stock,"3,20",6-7 mm,"50% Baumwolle, 50% Acryl",https://www.wollplatz.de/wolle/yarn-and-colors/yarn-and-colors-fabulous
Yarn and Colors Fresh 005 Clay,out of stock for now,"12,29",25 mm,"30% Wolle, 70% Acryl",https://www.wollplatz.de/wolle/yarn-and-colors/yarn-and-colors-fresh
Yarn and Colors Furry 001 White,in stock,"2,21",3-4 mm,100% Polyester,https://www.wollplatz.de/wolle/yarn-and-colors/yarn-and-colors-furry
Yarn and Colors Glamour 089 Gold,in stock,"1,72",2 mm,100% Polyester,https://www.wollplatz.de/wolle/yarn-and-colors/yarn-and-colors-glamour
Yarn and Colors Happy 002 Cream,in stock,"5,90",5 - 6 mm,"25% Wolle, 25% Acryl, 50% Polyamid",https://www.wollplatz.de/wolle/yarn-and-colors/yarn-and-colors-happy
Yarn and Colors Joy 002 Cream,in stock,"5,90","3,5-4 mm","25% Wolle, 25% Acryl, 50% Polyamid",https://www.wollplatz.de/wolle/yarn-and-colors/yarn-and-colors-joy
Yarn and Colors Must-have 001 White,in stock,"2,36","2-3,5 mm",100% Baumwolle,https://www.wollplatz.de/wolle/yarn-and-colors/yarn-and-colors-must-have
Yarn and Colors Must-have Farbkarte,out of stock for now,"9,83",no data,no data,https://www.wollplatz.de/wolle/yarn-and-colors/yarn-and-colors-must-have-farbkarte
Yarn and Colors Must-have Minis 001 White,in stock,"0,74","2-3,5 mm",100% Baumwolle,https://www.wollplatz.de/wolle/yarn-and-colors/yarn-and-colors-must-have-minis
Yarn and Colors Must-Have Minis Alle Farben Paket,in stock,"75,24","2 - 3,5 mm",100% Baumwolle,https://www.wollplatz.de/wolle/yarn-and-colors/yarn-and-colors-must-have-minis-100-farben-paket
Yarn and Colors Serene 002 Cream,in stock,"5,65",4 - 4.5 mm,100% Merinowolle,https://www.wollplatz.de/wolle/yarn-and-colors/yarn-and-colors-serene
Yarn and Colors Super Charming 006 Taupe,out of product range,"2,95",5 mm,"66% Baumwolle, 34% Acryl ",https://www.wollplatz.de/wolle/yarn-and-colors/yarn-and-colors-super-charming
Yarn and Colors Super Must-have 001 White,in stock,"5,65",6-7 mm,100% Baumwolle,https://www.wollplatz.de/wolle/yarn-and-colors/yarn-and-colors-super-must-have
Yarn and Colors Urban 002 Cream,out of product range,"7,87",12 mm,"15% Wolle, 85% Acryl",https://www.wollplatz.de/wolle/yarn-and-colors/yarn-and-colors-urban
